date,firefox-version,firefox-interop-2026-anchor-positioning,firefox-interop-2026-attr,firefox-interop-2026-container-style-queries,firefox-interop-2026-contrast-color,firefox-interop-2026-custom-highlights,firefox-interop-2026-dialogs-and-popovers,firefox-interop-2026-fetch,firefox-interop-2026-indexeddb,firefox-interop-2026-jspi-for-wasm,firefox-interop-2026-media-pseudo-classes,firefox-interop-2026-navigation,firefox-interop-2026-scoped-custom-element-registries,firefox-interop-2026-scroll-driven-animations,firefox-interop-2026-scroll-snap,firefox-interop-2026-shape,firefox-interop-2026-view-transitions,firefox-interop-2026-webcompat,firefox-interop-2026-webrtc,firefox-interop-2026-webtransport,firefox-interop-2026-zoom,interop-interop-2026-anchor-positioning,interop-interop-2026-attr,interop-interop-2026-container-style-queries,interop-interop-2026-contrast-color,interop-interop-2026-custom-highlights,interop-interop-2026-dialogs-and-popovers,interop-interop-2026-fetch,interop-interop-2026-indexeddb,interop-interop-2026-jspi-for-wasm,interop-interop-2026-media-pseudo-classes,interop-interop-2026-navigation,interop-interop-2026-scoped-custom-element-registries,interop-interop-2026-scroll-driven-animations,interop-interop-2026-scroll-snap,interop-interop-2026-shape,interop-interop-2026-view-transitions,interop-interop-2026-webcompat,interop-interop-2026-webrtc,interop-interop-2026-webtransport,interop-interop-2026-zoom,revision,metadata-revision
2026-01-18T21:45:18,20260118214518,851,710,551,760,659,729,713,41,1000,0,879,16,325,587,880,790,844,713,781,1000,853,710,551,950,665,772,743,41,1000,0,879,16,327,587,880,790,844,713,781,1000,cd28f573b7917f3e394ae732d765960119ad32bc,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-20T05:19:39,20260120051939,852,710,551,760,659,729,713,41,1000,0,879,16,318,579,880,790,844,713,781,1000,854,710,551,950,665,772,743,41,1000,0,879,16,321,579,880,790,844,713,781,1000,25ac23315cfb80a77909b36c416ac05f9aedae6f,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-20T10:01:02,20260120100102,852,710,551,760,659,729,713,41,1000,0,879,16,325,587,880,790,844,723,781,1000,854,710,551,950,665,772,743,41,1000,0,879,16,327,587,880,790,844,723,781,1000,36e30118c116ff4f540374168d2439e3be37eda3,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-20T21:13:17,20260120211317,852,710,551,760,668,729,713,41,1000,0,882,16,318,579,880,790,844,723,781,1000,854,710,551,950,675,772,743,41,1000,0,882,16,321,579,880,790,844,723,781,1000,16edd68d8019bac8f8bb14cd189b73fd6b06e2ad,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-21T04:07:30,20260121040730,852,710,551,760,668,729,713,41,1000,0,882,16,325,579,880,790,844,723,781,1000,854,710,551,950,675,772,743,41,1000,0,882,16,327,579,880,790,844,723,781,1000,f0b42fcd1bcab924abe3b603e759d7bd9fb8ee97,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-22T23:42:03,20260122234203,864,710,551,760,685,729,713,41,1000,0,882,16,325,579,880,790,844,723,781,1000,866,710,551,950,691,772,743,41,1000,0,882,16,325,579,880,790,844,723,781,1000,2a5f077fee7b894493471247c600d70f851c3982,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-23T09:45:53,20260123094553,864,710,551,760,713,729,713,41,1000,0,882,16,318,579,880,790,844,723,781,1000,866,710,551,950,713,772,743,41,1000,0,882,16,318,579,880,790,844,723,781,1000,0ce3b0f31601e483ec4acbda6974f966c1dcc83a,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-23T21:46:40,20260123214640,872,710,551,960,713,785,713,41,1000,0,882,16,325,579,880,790,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,882,16,325,579,880,790,844,723,781,1000,e4823d45161d12449bccbf361998fdb68d341a6c,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-24T08:57:15,20260124085715,872,710,551,960,713,785,713,41,1000,0,882,16,318,579,880,790,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,882,16,318,579,880,790,844,723,781,1000,ff2cb17e6a758fe7430b088a3221d04e71e8a027,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-24T21:27:58,20260124212758,872,710,551,960,713,785,713,41,1000,0,882,16,325,587,880,790,844,723,781,1000,872,710,551,960,713,785,713,41,1000,0,882,16,325,587,880,790,844,723,781,1000,4ea392bd4ea9dc42d95952a39b4c217234c12a63,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
