date,firefox-version,firefox-interop-2026-anchor-positioning,firefox-interop-2026-attr,firefox-interop-2026-container-style-queries,firefox-interop-2026-contrast-color,firefox-interop-2026-custom-highlights,firefox-interop-2026-dialogs-and-popovers,firefox-interop-2026-fetch,firefox-interop-2026-indexeddb,firefox-interop-2026-jspi-for-wasm,firefox-interop-2026-media-pseudo-classes,firefox-interop-2026-navigation,firefox-interop-2026-scoped-custom-element-registries,firefox-interop-2026-scroll-driven-animations,firefox-interop-2026-scroll-snap,firefox-interop-2026-shape,firefox-interop-2026-view-transitions,firefox-interop-2026-webcompat,firefox-interop-2026-webrtc,firefox-interop-2026-webtransport,firefox-interop-2026-zoom,interop-interop-2026-anchor-positioning,interop-interop-2026-attr,interop-interop-2026-container-style-queries,interop-interop-2026-contrast-color,interop-interop-2026-custom-highlights,interop-interop-2026-dialogs-and-popovers,interop-interop-2026-fetch,interop-interop-2026-indexeddb,interop-interop-2026-jspi-for-wasm,interop-interop-2026-media-pseudo-classes,interop-interop-2026-navigation,interop-interop-2026-scoped-custom-element-registries,interop-interop-2026-scroll-driven-animations,interop-interop-2026-scroll-snap,interop-interop-2026-shape,interop-interop-2026-view-transitions,interop-interop-2026-webcompat,interop-interop-2026-webrtc,interop-interop-2026-webtransport,interop-interop-2026-zoom,revision
2026-01-20T10:01:02,20260120100102,927,710,551,760,659,729,713,41,1000,0,880,16,325,587,880,792,844,723,781,1000,927,710,551,950,665,772,743,41,1000,0,880,16,327,587,880,792,844,723,781,1000,36e30118c116ff4f540374168d2439e3be37eda3
2026-01-20T21:13:17,20260120211317,927,710,551,760,668,729,713,41,1000,0,882,16,318,579,880,792,844,723,781,1000,927,710,551,950,675,772,743,41,1000,0,882,16,321,579,880,792,844,723,781,1000,16edd68d8019bac8f8bb14cd189b73fd6b06e2ad
2026-01-21T04:07:30,20260121040730,927,710,551,760,668,729,713,41,1000,0,882,16,325,579,880,792,844,723,781,1000,927,710,551,950,675,772,743,41,1000,0,882,16,327,579,880,792,844,723,781,1000,f0b42fcd1bcab924abe3b603e759d7bd9fb8ee97
2026-01-22T23:42:03,20260122234203,945,710,551,760,685,729,713,41,1000,0,882,16,325,579,880,792,844,723,781,1000,945,710,551,950,691,772,743,41,1000,0,882,16,325,579,880,792,844,723,781,1000,2a5f077fee7b894493471247c600d70f851c3982
2026-01-23T09:45:53,20260123094553,945,710,551,760,713,729,713,41,1000,0,882,16,318,579,880,792,844,723,781,1000,945,710,551,950,713,772,743,41,1000,0,882,16,318,579,880,792,844,723,781,1000,0ce3b0f31601e483ec4acbda6974f966c1dcc83a
2026-01-23T21:46:40,20260123214640,958,710,551,960,713,785,713,41,1000,0,882,16,325,579,880,792,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,882,16,325,579,880,792,844,723,781,1000,e4823d45161d12449bccbf361998fdb68d341a6c
2026-01-24T08:57:15,20260124085715,958,710,551,960,713,785,713,41,1000,0,882,16,318,579,880,792,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,882,16,318,579,880,792,844,723,781,1000,ff2cb17e6a758fe7430b088a3221d04e71e8a027
2026-01-24T21:27:58,20260124212758,958,710,551,960,713,785,713,41,1000,0,882,16,325,587,880,792,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,882,16,325,587,880,792,844,723,781,1000,4ea392bd4ea9dc42d95952a39b4c217234c12a63
2026-01-25T09:23:01,20260125092301,958,710,551,960,713,785,713,41,1000,0,882,16,318,579,880,792,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,882,16,318,579,880,792,844,723,781,1000,85b0ca67efe32790ef7849e6ec32706842b98e5a
2026-01-26T21:39:06,20260126213906,958,710,551,960,713,785,713,41,1000,0,882,16,325,587,880,795,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,882,16,325,587,880,795,844,723,781,1000,fcad94c3a8e858a93e1fc2bc6e405846f526e8a8
2026-01-27T04:08:20,20260127040820,958,710,551,960,713,785,713,41,1000,0,882,16,325,587,964,795,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,882,16,325,587,964,795,844,723,781,1000,73fc8b9acb157c9a033dd4d21569d355d9b6eca3
2026-01-27T09:50:52,20260127095052,958,710,551,960,713,785,713,41,1000,0,882,16,325,587,964,795,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,882,16,325,587,964,795,844,723,781,1000,e26dd0d93ce6d627c56f0969d9165437fbcda929
2026-01-27T16:31:49,20260127163149,958,710,551,960,713,785,713,41,1000,0,880,16,318,579,964,800,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,880,16,318,579,964,800,844,723,781,1000,bcb6dad83ff3f0859ea505f00c65a9d92306eb05
2026-01-27T21:25:01,20260127212501,958,710,551,960,713,785,713,41,1000,0,880,16,318,587,964,800,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,880,16,318,587,964,800,844,723,781,1000,2d9c8f7550b30af8f17ee134c58106a799546430
2026-01-28T09:48:16,20260128094816,958,710,551,960,713,785,713,41,1000,0,882,16,318,579,964,800,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,882,16,318,579,964,800,844,723,781,1000,08a9de1f821f7bc1616855224f28bd5a0415eac7
2026-01-28T16:31:27,20260128163127,958,710,551,960,713,785,713,41,1000,0,882,16,325,587,964,800,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,882,16,325,587,964,800,844,723,781,1000,1be054734a7ce30aa018c8033e3d3ad69d68519d
2026-01-29T21:11:41,20260129211141,958,710,551,960,713,785,713,41,1000,0,880,16,325,579,964,802,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,880,16,325,579,964,802,844,723,781,1000,2799f95c63d12f7ecfe0b0c0128dc6061065f4cf
2026-01-30T09:21:47,20260130092147,958,710,551,960,713,785,713,41,1000,0,880,16,318,579,964,802,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,880,16,318,579,964,802,844,723,781,1000,20b1a1e6c530f3506d5378bf5f4da504b6f03661
2026-01-30T21:13:06,20260130211306,958,710,551,960,713,785,713,41,1000,0,877,16,325,579,964,802,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,877,16,325,579,964,802,844,723,781,1000,fda5656fd125db4b2f2b002f71c01ac39ab3fa6d
2026-01-31T09:17:43,20260131091743,958,710,551,960,713,785,713,41,1000,0,877,16,325,579,964,802,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,877,16,325,579,964,802,844,723,781,1000,1be4ab5933df952b162ffc532e988c8b2d3e5977
2026-01-31T21:14:41,20260131211441,958,710,551,960,713,785,713,41,1000,0,889,16,318,579,964,802,844,723,781,1000,958,710,551,960,713,785,713,41,1000,0,889,16,318,579,964,802,844,723,781,1000,b5da8b2aff10060d62ed2d421e49cfee00213b05
